 format: day,hour,forecast,value  location:60_37 Start : 20160101 
 2,1100,+22,335.000000 
 2,1100,+25,301.000000 
 2,1100,+28,276.000000 
 2,1100,+31,286.000000 
 2,1100,+34,303.000000 
 2,1100,+37,317.000000 
 2,1100,+40,322.000000 
 2,1100,+43,331.000000 
 2,1100,+46,328.000000 
 2,1100,+49,333.000000 
 2,1100,+52,339.000000 
 2,1400,+4,251.000000 
 2,1400,+7,284.000000 
 2,1400,+10,327.000000 
 2,1400,+13,335.000000 
 2,1400,+16,354.000000 
 2,1400,+19,347.000000 
 2,1400,+22,304.000000 
 2,1400,+25,274.000000 
 2,1400,+28,292.000000 
 2,1400,+31,316.000000 
 2,1400,+34,326.000000 
 2,1400,+37,331.000000 
 2,1400,+40,335.000000 
 2,1400,+43,337.000000 
 2,1400,+46,338.000000 
 2,1400,+49,343.000000 
 2,1700,+4,284.000000 
 2,1700,+7,327.000000 
 2,1700,+10,335.000000 
 2,1700,+13,354.000000 
 2,1700,+16,347.000000 
 2,1700,+19,304.000000 
 2,1700,+22,274.000000 
 2,1700,+25,292.000000 
 2,1700,+28,316.000000 
 2,1700,+31,326.000000 
 2,1700,+34,331.000000 
 2,1700,+37,335.000000 
 2,1700,+40,337.000000 
 2,1700,+43,338.000000 
 2,1700,+46,343.000000 
 2,2000,+4,325.000000 
 2,2000,+7,337.000000 
 2,2000,+10,355.000000 
 2,2000,+13,341.000000 
 2,2000,+16,304.000000 
 2,2000,+19,272.000000 
 2,2000,+22,296.000000 
 2,2000,+25,316.000000 
 2,2000,+28,327.000000 
 2,2000,+31,332.000000 
 2,2000,+34,334.000000 
 2,2000,+37,338.000000 
 2,2000,+40,338.000000 
 2,2000,+43,342.000000 
 2,2000,+46,343.000000 
 2,2000,+49,346.000000 
 2,2000,+52,351.000000 
 2,2000,+55,353.000000 
 2,2000,+58,338.000000 
 2,2000,+61,340.000000 
 2,2000,+64,343.000000 
 2,2000,+67,345.000000 
 2,2300,+4,337.000000 
 2,2300,+7,355.000000 
 2,2300,+10,341.000000 
 2,2300,+13,304.000000 
 2,2300,+16,272.000000 
 2,2300,+19,296.000000 
 2,2300,+22,316.000000 
 2,2300,+25,327.000000 
 2,2300,+28,332.000000 
 2,2300,+31,334.000000 
 2,2300,+34,338.000000 
 2,2300,+37,338.000000 
 2,2300,+40,342.000000 
 2,2300,+43,343.000000 
 2,2300,+46,346.000000 
 2,2300,+49,351.000000 
 2,2300,+52,353.000000 
 2,2300,+55,338.000000 
 2,2300,+58,340.000000 
 2,2300,+61,343.000000 
 2,2300,+64,345.000000 
 3,0200,+4,334.000000 
 3,0200,+7,325.000000 
 3,0200,+10,299.000000 
 3,0200,+13,270.000000 
 3,0200,+16,290.000000 
 3,0200,+19,303.000000 
 3,0200,+22,319.000000 
 3,0200,+25,325.000000 
 3,0200,+28,326.000000 
 3,0200,+31,330.000000 
 3,0200,+34,332.000000 
 3,0200,+37,337.000000 
 3,0200,+40,338.000000 
 3,0200,+43,342.000000 
 3,0200,+46,348.000000 
 3,0200,+49,349.000000 
 3,0200,+52,336.000000 
 3,0200,+55,338.000000 
 3,0200,+58,342.000000 
 3,0200,+61,344.000000 
 3,0500,+4,325.000000 
 3,0500,+7,299.000000 
 3,0500,+10,270.000000 
 3,0500,+13,290.000000 
 3,0500,+16,303.000000 
 3,0500,+19,319.000000 
 3,0500,+22,325.000000 
 3,0500,+25,326.000000 
 3,0500,+28,330.000000 
 3,0500,+31,332.000000 
 3,0500,+34,337.000000 
 3,0500,+37,338.000000 
 3,0500,+40,342.000000 
 3,0500,+43,348.000000 
 3,0500,+46,349.000000 
 3,0500,+49,336.000000 
 3,0500,+52,338.000000 
 3,0500,+55,342.000000 
 3,0500,+58,344.000000 
 3,0800,+4,302.000000 
 3,0800,+7,278.000000 
 3,0800,+10,297.000000 
 3,0800,+13,317.000000 
 3,0800,+16,329.000000 
 3,0800,+19,328.000000 
 3,0800,+22,327.000000 
 3,0800,+25,330.000000 
 3,0800,+28,336.000000 
 3,0800,+31,342.000000 
 3,0800,+34,342.000000 
 3,0800,+37,346.000000 
 3,0800,+40,349.000000 
 3,0800,+43,347.000000 
 3,0800,+46,336.000000 
 3,0800,+49,338.000000 
 3,0800,+52,338.000000 
 3,0800,+55,342.000000 
 3,1100,+4,278.000000 
 3,1100,+7,297.000000 
 3,1100,+10,317.000000 
 3,1100,+13,329.000000 
 3,1100,+16,328.000000 
 3,1100,+19,327.000000 
 3,1100,+22,330.000000 
 3,1100,+25,336.000000 
 3,1100,+28,342.000000 
 3,1100,+31,342.000000 
 3,1100,+34,346.000000 
 3,1100,+37,349.000000 
 3,1100,+40,347.000000 
 3,1100,+43,336.000000 
 3,1100,+46,338.000000 
 3,1100,+49,338.000000 
 3,1100,+52,342.000000 
 3,1400,+4,298.000000 
 3,1400,+7,322.000000 
 3,1400,+10,330.000000 
 3,1400,+13,333.000000 
 3,1400,+16,334.000000 
 3,1400,+19,338.000000 
 3,1400,+22,339.000000 
 3,1400,+25,344.000000 
 3,1400,+28,344.000000 
 3,1400,+31,348.000000 
 3,1400,+34,351.000000 
 3,1400,+37,352.000000 
 3,1400,+40,339.000000 
 3,1400,+43,340.000000 
 3,1400,+46,342.000000 
 3,1400,+49,345.000000 
 3,1700,+4,322.000000 
 3,1700,+7,330.000000 
 3,1700,+10,333.000000 
 3,1700,+13,334.000000 
 3,1700,+16,338.000000 
 3,1700,+19,339.000000 
 3,1700,+22,344.000000 
 3,1700,+25,344.000000 
 3,1700,+28,348.000000 
 3,1700,+31,351.000000 
 3,1700,+34,352.000000 
 3,1700,+37,339.000000 
 3,1700,+40,340.000000 
 3,1700,+43,342.000000 
 3,1700,+46,345.000000 
 3,2000,+4,329.000000 
 3,2000,+7,335.000000 
 3,2000,+10,335.000000 
 3,2000,+13,338.000000 
 3,2000,+16,341.000000 
 3,2000,+19,346.000000 
 3,2000,+22,347.000000 
 3,2000,+25,353.000000 
 3,2000,+28,357.000000 
 3,2000,+31,358.000000 
 3,2000,+34,347.000000 
 3,2000,+37,344.000000 
 3,2000,+40,344.000000 
 3,2000,+43,345.000000 
 3,2000,+46,343.000000 
 3,2000,+49,347.000000 
 3,2000,+52,343.000000 
 3,2000,+55,328.000000 
 3,2000,+58,325.000000 
 3,2000,+61,324.000000 
 3,2000,+64,325.000000 
 3,2000,+67,322.000000 
 3,2300,+4,335.000000 
 3,2300,+7,335.000000 
 3,2300,+10,338.000000 
 3,2300,+13,341.000000 
 3,2300,+16,346.000000 
 3,2300,+19,347.000000 
 3,2300,+22,353.000000 
 3,2300,+25,357.000000 
 3,2300,+28,358.000000 
 3,2300,+31,347.000000 
 3,2300,+34,344.000000 
 3,2300,+37,344.000000 
 3,2300,+40,345.000000 
 3,2300,+43,343.000000 
 3,2300,+46,347.000000 
 3,2300,+49,343.000000 
 3,2300,+52,328.000000 
 3,2300,+55,325.000000 
 3,2300,+58,324.000000 
 3,2300,+61,325.000000 
 3,2300,+64,322.000000 
 4,0200,+4,329.000000 
 4,0200,+7,331.000000 
 4,0200,+10,342.000000 
 4,0200,+13,351.000000 
 4,0200,+16,356.000000 
 4,0200,+19,359.000000 
 4,0200,+22,6.000000 
 4,0200,+25,5.000000 
 4,0200,+28,358.000000 
 4,0200,+31,349.000000 
 4,0200,+34,344.000000 
 4,0200,+37,344.000000 
 4,0200,+40,341.000000 
 4,0200,+43,343.000000 
 4,0200,+46,338.000000 
 4,0200,+49,324.000000 
 4,0200,+52,322.000000 
 4,0200,+55,321.000000 
 4,0200,+58,324.000000 
 4,0200,+61,320.000000 
 4,0500,+4,331.000000 
 4,0500,+7,342.000000 
 4,0500,+10,351.000000 
 4,0500,+13,356.000000 
 4,0500,+16,359.000000 
 4,0500,+19,6.000000 
 4,0500,+22,5.000000 
 4,0500,+25,358.000000 
 4,0500,+28,349.000000 
 4,0500,+31,344.000000 
 4,0500,+34,344.000000 
 4,0500,+37,341.000000 
 4,0500,+40,343.000000 
 4,0500,+43,338.000000 
 4,0500,+46,324.000000 
 4,0500,+49,322.000000 
 4,0500,+52,321.000000 
 4,0500,+55,324.000000 
 4,0500,+58,320.000000 
 4,0800,+4,342.000000 
 4,0800,+7,351.000000 
 4,0800,+10,5.000000 
 4,0800,+13,359.000000 
 4,0800,+16,7.000000 
 4,0800,+19,5.000000 
 4,0800,+22,358.000000 
 4,0800,+25,349.000000 
 4,0800,+28,344.000000 
 4,0800,+31,344.000000 
 4,0800,+34,341.000000 
 4,0800,+37,343.000000 
 4,0800,+40,338.000000 
 4,0800,+43,324.000000 
 4,0800,+46,322.000000 
 4,0800,+49,321.000000 
 4,0800,+52,324.000000 
 4,0800,+55,320.000000 
 4,1100,+4,351.000000 
 4,1100,+7,5.000000 
 4,1100,+10,359.000000 
 4,1100,+13,7.000000 
 4,1100,+16,5.000000 
 4,1100,+19,358.000000 
 4,1100,+22,349.000000 
 4,1100,+25,344.000000 
 4,1100,+28,344.000000 
 4,1100,+31,341.000000 
 4,1100,+34,343.000000 
 4,1100,+37,338.000000 
 4,1100,+40,324.000000 
 4,1100,+43,322.000000 
 4,1100,+46,321.000000 
 4,1100,+49,324.000000 
 4,1100,+52,320.000000 
 4,1400,+4,5.000000 
 4,1400,+7,359.000000 
 4,1400,+10,7.000000 
 4,1400,+13,5.000000 
 4,1400,+16,358.000000 
 4,1400,+19,351.000000 
 4,1400,+22,345.000000 
 4,1400,+25,344.000000 
 4,1400,+28,341.000000 
 4,1400,+31,343.000000 
 4,1400,+34,337.000000 
 4,1400,+37,323.000000 
 4,1400,+40,322.000000 
 4,1400,+43,321.000000 
 4,1400,+46,324.000000 
 4,1400,+49,320.000000 
 4,1700,+4,359.000000 
 4,1700,+7,7.000000 
 4,1700,+10,5.000000 
 4,1700,+13,358.000000 
 4,1700,+16,351.000000 
 4,1700,+19,345.000000 
 4,1700,+22,344.000000 
 4,1700,+25,341.000000 
 4,1700,+28,343.000000 
 4,1700,+31,337.000000 
 4,1700,+34,323.000000 
 4,1700,+37,322.000000 
 4,1700,+40,321.000000 
 4,1700,+43,324.000000 
 4,1700,+46,320.000000 
 4,2000,+4,353.000000 
 4,2000,+7,357.000000 
 4,2000,+10,347.000000 
 4,2000,+13,351.000000 
 4,2000,+16,350.000000 
 4,2000,+19,349.000000 
 4,2000,+22,345.000000 
 4,2000,+25,350.000000 
