 format: day,hour,forecast,value  location:60_37 Start : 20150101 
 2,0500,+52,0.000000 
 2,0500,+55,0.000000 
 2,0500,+58,0.000000 
 2,0800,+4,10.000000 
 2,0800,+7,10.000000 
 2,0800,+10,10.000000 
 2,0800,+13,10.000000 
 2,0800,+16,10.000000 
 2,0800,+19,10.000000 
 2,0800,+22,10.000000 
 2,0800,+25,10.000000 
 2,0800,+28,10.000000 
 2,0800,+31,10.000000 
 2,0800,+34,10.000000 
 2,0800,+37,10.000000 
 2,0800,+40,10.000000 
 2,0800,+43,0.000000 
 2,0800,+46,0.000000 
 2,0800,+49,0.000000 
 2,0800,+52,0.000000 
 2,0800,+55,0.000000 
 2,1100,+4,10.000000 
 2,1100,+7,10.000000 
 2,1100,+10,10.000000 
 2,1100,+13,10.000000 
 2,1100,+16,10.000000 
 2,1100,+19,10.000000 
 2,1100,+22,10.000000 
 2,1100,+25,10.000000 
 2,1100,+28,10.000000 
 2,1100,+31,10.000000 
 2,1100,+34,10.000000 
 2,1100,+37,10.000000 
 2,1100,+40,0.000000 
 2,1100,+43,0.000000 
 2,1100,+46,0.000000 
 2,1100,+49,0.000000 
 2,1100,+52,0.000000 
 2,1400,+4,10.000000 
 2,1400,+7,10.000000 
 2,1400,+10,10.000000 
 2,1400,+13,10.000000 
 2,1400,+16,10.000000 
 2,1400,+19,10.000000 
 2,1400,+22,10.000000 
 2,1400,+25,10.000000 
 2,1400,+28,10.000000 
 2,1400,+31,10.000000 
 2,1400,+34,10.000000 
 2,1400,+37,0.000000 
 2,1400,+40,0.000000 
 2,1400,+43,0.000000 
 2,1400,+46,0.000000 
 2,1400,+49,0.000000 
 2,1700,+4,10.000000 
 2,1700,+7,10.000000 
 2,1700,+10,10.000000 
 2,1700,+13,10.000000 
 2,1700,+16,10.000000 
 2,1700,+19,10.000000 
 2,1700,+22,10.000000 
 2,1700,+25,10.000000 
 2,1700,+28,10.000000 
 2,1700,+31,10.000000 
 2,1700,+34,0.000000 
 2,1700,+37,0.000000 
 2,1700,+40,0.000000 
 2,1700,+43,0.000000 
 2,1700,+46,0.000000 
 2,2000,+4,10.000000 
 2,2000,+7,10.000000 
 2,2000,+10,10.000000 
 2,2000,+13,10.000000 
 2,2000,+16,10.000000 
 2,2000,+19,10.000000 
 2,2000,+22,10.000000 
 2,2000,+25,10.000000 
 2,2000,+28,10.000000 
 2,2000,+31,0.000000 
 2,2000,+34,0.000000 
 2,2000,+37,0.000000 
 2,2000,+40,0.000000 
 2,2000,+43,0.000000 
 2,2000,+46,10.000000 
 2,2000,+49,10.000000 
 2,2000,+52,20.000000 
 2,2000,+55,20.000000 
 2,2000,+58,30.000000 
 2,2000,+61,30.000000 
 2,2000,+64,30.000000 
 2,2000,+67,60.000000 
 2,2300,+4,10.000000 
 2,2300,+7,10.000000 
 2,2300,+10,10.000000 
 2,2300,+13,10.000000 
 2,2300,+16,10.000000 
 2,2300,+19,10.000000 
 2,2300,+22,10.000000 
 2,2300,+25,10.000000 
 2,2300,+28,0.000000 
 2,2300,+31,0.000000 
 2,2300,+34,0.000000 
 2,2300,+37,0.000000 
 2,2300,+40,0.000000 
 2,2300,+43,10.000000 
 2,2300,+46,10.000000 
 2,2300,+49,20.000000 
 2,2300,+52,20.000000 
 2,2300,+55,30.000000 
 2,2300,+58,30.000000 
 2,2300,+61,30.000000 
 2,2300,+64,60.000000 
 3,0200,+4,20.000000 
 3,0200,+7,20.000000 
 3,0200,+10,20.000000 
 3,0200,+13,20.000000 
 3,0200,+16,10.000000 
 3,0200,+19,10.000000 
 3,0200,+22,9.000000 
 3,0200,+25,0.000000 
 3,0200,+28,0.000000 
 3,0200,+31,0.000000 
 3,0200,+34,1.000000 
 3,0200,+37,1.000000 
 3,0200,+40,10.000000 
 3,0200,+43,10.000000 
 3,0200,+46,20.000000 
 3,0200,+49,20.000000 
 3,0200,+52,30.000000 
 3,0200,+55,30.000000 
 3,0200,+58,30.000000 
 3,0200,+61,60.000000 
 3,0500,+4,20.000000 
 3,0500,+7,20.000000 
 3,0500,+10,20.000000 
 3,0500,+13,10.000000 
 3,0500,+16,10.000000 
 3,0500,+19,9.000000 
 3,0500,+22,0.000000 
 3,0500,+25,0.000000 
 3,0500,+28,0.000000 
 3,0500,+31,1.000000 
 3,0500,+34,1.000000 
 3,0500,+37,10.000000 
 3,0500,+40,10.000000 
 3,0500,+43,20.000000 
 3,0500,+46,20.000000 
 3,0500,+49,30.000000 
 3,0500,+52,30.000000 
 3,0500,+55,30.000000 
 3,0500,+58,60.000000 
 3,0800,+4,20.000000 
 3,0800,+7,20.000000 
 3,0800,+10,10.000000 
 3,0800,+13,10.000000 
 3,0800,+16,10.000000 
 3,0800,+19,0.000000 
 3,0800,+22,0.000000 
 3,0800,+25,0.000000 
 3,0800,+28,0.000000 
 3,0800,+31,0.000000 
 3,0800,+34,10.000000 
 3,0800,+37,10.000000 
 3,0800,+40,20.000000 
 3,0800,+43,20.000000 
 3,0800,+46,30.000000 
 3,0800,+49,30.000000 
 3,0800,+52,60.000000 
 3,0800,+55,60.000000 
 3,1100,+4,20.000000 
 3,1100,+7,10.000000 
 3,1100,+10,10.000000 
 3,1100,+13,10.000000 
 3,1100,+16,0.000000 
 3,1100,+19,0.000000 
 3,1100,+22,0.000000 
 3,1100,+25,0.000000 
 3,1100,+28,0.000000 
 3,1100,+31,10.000000 
 3,1100,+34,10.000000 
 3,1100,+37,20.000000 
 3,1100,+40,20.000000 
 3,1100,+43,30.000000 
 3,1100,+46,30.000000 
 3,1100,+49,60.000000 
 3,1100,+52,60.000000 
 3,1400,+4,10.000000 
 3,1400,+7,10.000000 
 3,1400,+10,10.000000 
 3,1400,+13,0.000000 
 3,1400,+16,0.000000 
 3,1400,+19,0.000000 
 3,1400,+22,0.000000 
 3,1400,+25,0.000000 
 3,1400,+28,10.000000 
 3,1400,+31,10.000000 
 3,1400,+34,20.000000 
 3,1400,+37,20.000000 
 3,1400,+40,30.000000 
 3,1400,+43,30.000000 
 3,1400,+46,60.000000 
 3,1400,+49,60.000000 
 3,1700,+4,10.000000 
 3,1700,+7,10.000000 
 3,1700,+10,0.000000 
 3,1700,+13,0.000000 
 3,1700,+16,0.000000 
 3,1700,+19,0.000000 
 3,1700,+22,0.000000 
 3,1700,+25,10.000000 
 3,1700,+28,10.000000 
 3,1700,+31,20.000000 
 3,1700,+34,20.000000 
 3,1700,+37,30.000000 
 3,1700,+40,29.000000 
 3,1700,+43,60.000000 
 3,1700,+46,60.000000 
 3,2000,+4,0.000000 
