지점,일시,기온,풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
792,2015-01-01 00:00,1.9,301.8,6,0,,,,0,0
792,2015-01-01 01:00,2.2,303.8,5.5,0,,,,0,0
792,2015-01-01 02:00,1.9,296.8,6,0,,,,0,0
792,2015-01-01 03:00,2.1,298.6,5.4,0,,,,0,0
792,2015-01-01 04:00,-.4,321.3,6.5,0,,,,0,0
792,2015-01-01 05:00,-.2,311.9,5.3,1,,,,0,0
792,2015-01-01 06:00,0,336.5,4.2,1,,,,0,0
792,2015-01-01 07:00,-.4,291.4,3.5,1,,,,0,0
792,2015-01-01 08:00,-.3,284.9,3.4,1,,,,0,0
792,2015-01-01 09:00,-1.2,301.7,5.7,.5,,,,0,0
792,2015-01-01 10:00,-.4,315.8,5.4,.5,,,,0,0
792,2015-01-01 11:00,-.7,316.1,5.2,0,,,,0,0
792,2015-01-01 12:00,.1,323,4,0,,,,0,0
792,2015-01-01 13:00,-.4,324.4,5.1,0,,,,0,0
792,2015-01-01 14:00,.3,313.3,6.6,0,,,,0,0
792,2015-01-01 15:00,.4,325.9,6,1,,,,0,0
792,2015-01-01 16:00,.6,327.6,5.2,0,,,,0,0
792,2015-01-01 17:00,.5,328.5,5.2,0,,,,0,0
792,2015-01-01 18:00,.8,326.7,4.9,1.5,,,,0,0
792,2015-01-01 19:00,1,318.3,4.6,0,,,,0,0
792,2015-01-01 20:00,1.2,315.3,7.9,0,,,,0,0
792,2015-01-01 21:00,1.3,313.6,5.7,0,,,,0,0
792,2015-01-01 22:00,1.1,297.3,2.3,0,,,,0,0
792,2015-01-01 23:00,1.2,278.1,3,0,,,,0,0
792,2015-01-02 00:00,1.1,301.9,2.7,0,,,,0,0
792,2015-01-02 01:00,1.8,304.1,3.8,0,,,,0,0
792,2015-01-02 02:00,1.1,357.8,.6,0,,,,0,0
792,2015-01-02 03:00,2,324.1,2,0,,,,0,0
792,2015-01-02 04:00,2.1,324.3,4.1,0,,,,0,0
792,2015-01-02 05:00,1.9,310.9,5.9,0,,,,0,0
792,2015-01-02 06:00,2.1,303,3.4,0,,,,0,0
792,2015-01-02 07:00,2.6,279.4,2.4,0,,,,0,0
792,2015-01-02 08:00,3.3,289.3,3.3,0,,,,0,0
792,2015-01-02 09:00,3.4,307.1,4.7,0,,,,0,0
792,2015-01-02 10:00,3.7,310.7,5.2,0,0,-99.8,0,0,0
792,2015-01-02 11:00,4.1,297.2,5.2,,0,-99.8,0,0,0
792,2015-01-02 12:00,4.7,296,4.5,,0,-99.8,0,0,0
792,2015-01-02 13:00,4.8,282.3,5.1,,0,-99.8,0,0,0
792,2015-01-02 14:00,5.3,269.5,2.4,,0,-99.8,0,0,0
792,2015-01-02 15:00,6,307.6,4.6,,0,-99.8,0,0,0
792,2015-01-02 16:00,5.5,303.7,4.8,,0,-99.8,0,0,0
792,2015-01-02 17:00,5.2,308.8,4.7,,0,-99.8,0,0,0
792,2015-01-02 18:00,4.6,312.9,4.8,,0,-99.8,0,0,0
792,2015-01-02 19:00,3.9,322.3,6.5,,0,-99.8,0,0,0
792,2015-01-02 20:00,2.9,341,4.7,,0,-99.8,0,0,0
792,2015-01-02 21:00,1.8,323,5,,0,-99.8,0,0,0
792,2015-01-02 22:00,1.3,336.6,4.3,,0,-99.8,0,0,0
792,2015-01-02 23:00,1.3,336.7,4.9,,0,-99.8,0,0,0
792,2015-01-03 00:00,.9,328.1,1.7,,0,-99.8,0,0,0
792,2015-01-03 01:00,.8,319.9,1.6,0,,,,0,0
792,2015-01-03 02:00,1.5,322.6,5.3,0,,,,0,0
792,2015-01-03 03:00,0,324.2,2.4,0,,,,0,0
792,2015-01-03 04:00,1.7,319.6,4.5,0,,,,0,0
792,2015-01-03 05:00,1.6,320.6,4.7,0,,,,0,0
792,2015-01-03 06:00,1.4,326.4,4.2,0,,,,0,0
792,2015-01-03 07:00,1.6,318.3,4.2,0,,,,0,0
792,2015-01-03 08:00,2.1,322.2,4.6,0,,,,0,0
792,2015-01-03 09:00,3.3,323.4,4.5,0,,,,0,0
792,2015-01-03 10:00,4.3,322.4,4.1,0,,,,0,0
