지점,일시,기온,풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
792,2016-01-01 00:00,4.5,334.1,3.2,0,,,,0,0
792,2016-01-01 01:00,4,327.6,3.5,0,,,,0,0
792,2016-01-01 02:00,4.5,332.1,3.1,0,,,,0,0
792,2016-01-01 03:00,4.4,332.1,2.7,0,,,,0,0
792,2016-01-01 04:00,4.6,326.7,2.7,0,,,,0,0
792,2016-01-01 05:00,5,321.8,3.3,0,,,,0,0
792,2016-01-01 06:00,3.9,328.3,3.3,0,,,,0,0
792,2016-01-01 07:00,4.8,329.8,2.8,0,,,,0,0
792,2016-01-01 08:00,5.1,331.4,2.7,0,,,,0,0
792,2016-01-01 09:00,6.3,322.3,3.1,0,,,,0,0
792,2016-01-01 10:00,7.7,325.3,3.9,0,,,,0,0
792,2016-01-01 11:00,8.7,331.2,2.5,0,,,,0,0
792,2016-01-01 12:00,8.8,345.3,2,0,,,,0,0
792,2016-01-01 13:00,10.5,194.4,1.7,0,,,,0,0
792,2016-01-01 14:00,9.8,151.1,1,0,,,,0,0
792,2016-01-01 15:00,10.7,236.2,2.4,0,,,,0,0
792,2016-01-01 16:00,10.3,225.9,1.6,0,,,,0,0
792,2016-01-01 17:00,9.5,226.1,2.3,0,,,,0,0
792,2016-01-01 18:00,6.5,270.6,1.3,0,,,,0,0
792,2016-01-01 19:00,7.1,294.3,1.5,0,,,,0,0
792,2016-01-01 20:00,6.4,305.4,2,0,,,,0,0
792,2016-01-01 21:00,5.9,331.1,3,0,,,,0,0
792,2016-01-01 22:00,5.4,312.9,1.3,0,,,,0,0
792,2016-01-01 23:00,4.3,310.8,.9,0,,,,0,0
792,2016-01-02 00:00,4.2,304.3,1.9,0,,,,0,0
792,2016-01-02 01:00,6,305.6,1.9,0,,,,0,0
792,2016-01-02 02:00,5.8,272.6,1.6,0,,,,0,0
792,2016-01-02 03:00,6.1,327.9,.8,0,,,,0,0
792,2016-01-02 04:00,5.7,331.2,1.2,0,,,,0,0
792,2016-01-02 05:00,5.6,258.5,1.5,0,,,,0,0
792,2016-01-02 06:00,6.6,314.2,.5,0,,,,0,0
792,2016-01-02 07:00,7.6,312.8,2,0,,,,0,0
792,2016-01-02 08:00,6.7,322.5,.8,0,,,,0,0
792,2016-01-02 09:00,9,299.8,1.7,0,,,,0,0
792,2016-01-02 10:00,13.6,286.9,1.7,0,,,,0,0
792,2016-01-02 11:00,14.3,240.7,1.9,0,,,,0,0
792,2016-01-02 12:00,15,197.9,2.7,0,,,,0,0
792,2016-01-02 13:00,14,200.2,3.3,0,,,,0,0
792,2016-01-02 14:00,14.6,206.8,3,0,,,,0,0
792,2016-01-02 15:00,14.6,224.8,2.8,0,,,,0,0
792,2016-01-02 16:00,13.9,4.8,2.2,0,,,,0,0
792,2016-01-02 17:00,12.6,16.7,2.2,0,,,,0,0
792,2016-01-02 18:00,11.2,335.3,.9,0,,,,0,0
792,2016-01-02 19:00,10.9,334.9,1.4,0,,,,0,0
