년원일,호기,총량,평균,최대,최소,최대(시간별),최소(시간별),00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014.01.01,1,46.278,1.9280000000000002,5.422000000000001,0.096,5.422000000000001,0.096,,1.176,1.666,2.294,1.1340000000000001,0.14,0.172,0.76,1.524,0.784,1.974,4.346,4.918,5.422000000000001,3.972,2.91,3.2880000000000003,1.6440000000000001,0.096,0.43799999999999994,0.978,1.318,1.518,1.9
2014.01.02,1,16.424,0.684,2.658,0.0,2.658,0.04,1.906,2.658,2.388,1.526,2.6460000000000004,2.052,0.556,0.64,1.158,0.306,0.057999999999999996,0.04,0.14400000000000002,0.504,0.53,0.46799999999999997,0.312,0.326,0.11199999999999999,0.0,0.0,0.0,0.0,0.0
2014.01.03,1,4.992,0.20800000000000002,2.0780000000000003,0.0,2.0780000000000003,0.11800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.23600000000000002,0.11800000000000001,0.514,0.59,1.212
2014.01.04,1,176.09599999999998,7.337000000000001,10.952,0.948,10.952,0.948,2.0780000000000003,0.948,1.226,2.412,4.864,8.074,8.722000000000001,5.834,7.016,8.164,10.952,10.54,8.446,7.06,9.11,10.52,9.564,10.016,9.92,9.4,8.32,6.207999999999999,9.146,6.602
2014.01.05,1,140.564,5.857,9.852,1.5859999999999999,9.852,1.5859999999999999,3.032,3.6839999999999997,6.73,6.82,4.838,6.9639999999999995,9.852,8.336,6.768,5.852,6.254,7.736000000000001,8.124,8.236,8.61,8.132,8.927999999999999,4.452,1.88,1.5859999999999999,3.0380000000000003,3.342,4.346,3.574
2014.01.06,1,12.33,0.514,1.9,0.0,1.9,0.002,2.4819999999999998,1.9,1.71,1.6340000000000001,1.284,1.466,1.4380000000000002,0.9940000000000001,0.62,0.5,0.10800000000000001,0.0,0.0,0.18600000000000003,0.054000000000000006,0.076,0.16,0.17800000000000002,0.002,0.02,0.0,0.0,0.0,0.0
2014.01.07,1,3.39,0.141,0.7879999999999999,0.0,0.7879999999999999,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.038,0.6859999999999999,0.076,0.0,0.11,0.61,0.424,0.488,0.7879999999999999,0.168
2014.01.08,1,188.916,7.872000000000001,11.752,0.002,11.752,0.002,0.0,0.002,0.122,0.5379999999999999,0.7859999999999999,1.304,5.406000000000001,5.446000000000001,6.692,9.344,8.766,8.942,10.033999999999999,10.622,10.872,10.352,9.32,10.792,10.565999999999999,11.584000000000001,11.532,11.265999999999998,11.138,11.738
2014.01.09,1,263.154,10.965,11.992,9.14,11.992,9.14,11.752,11.984000000000002,11.818,11.544,11.985999999999999,10.966,10.95,11.992,10.81,9.896,10.91,11.69,11.572000000000001,11.04,11.436,11.4,10.904000000000002,11.144,11.068,11.002,10.572000000000001,9.592,10.386,9.352
2014.01.10,1,36.368,1.515,7.77,0.002,7.77,0.002,9.14,7.77,6.962000000000001,4.806,3.486,3.24,2.3280000000000003,2.19,1.248,0.154,0.128,0.314,0.13,0.41600000000000004,0.242,0.79,0.402,0.07400000000000001,0.086,0.002,0.19,0.498,0.392,0.336
