년원일,호기,총량,평균,최대,최소,최대(시간별),최소(시간별),00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017.01.01,1,3.069,0.128,0.45399999999999996,0.0,0.45399999999999996,0.012,0.25,0.012,0.361,0.36200000000000004,0.266,0.37,0.35700000000000004,0.419,0.402,0.45399999999999996,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.01.02,1,17.279,0.72,2.9160000000000004,0.0,2.9160000000000004,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.6829999999999999,0.5670000000000001,0.951,0.977,0.593,0.223,0.917,0.474,1.893,2.9160000000000004,1.604,1.136,0.905,0.609,0.644
2017.01.03,1,132.437,5.518,8.329,2.076,8.329,2.076,2.03,7.051,8.329,6.247999999999999,6.909,7.095,6.247999999999999,6.4639999999999995,6.3020000000000005,7.08,5.507999999999999,7.077000000000001,6.529,5.386,4.455,5.2589999999999995,4.341,4.877,4.572,2.076,2.448,4.081,4.001,4.586
2017.01.04,1,106.133,4.422,9.737,1.3230000000000002,9.737,1.3230000000000002,5.515,4.734,4.188,6.582000000000001,7.598,9.737,8.39,8.061,5.683,2.9930000000000003,2.222,3.237,3.407,3.4789999999999996,2.121,1.3230000000000002,1.844,2.475,4.05,2.923,3.2039999999999997,3.23,4.753,5.244
2017.01.05,1,73.053,3.0439999999999996,7.891,0.435,7.891,0.435,4.655,4.103,3.42,1.3459999999999999,0.938,1.021,0.57,0.442,0.435,0.903,0.563,0.672,0.787,1.4780000000000002,1.327,2.362,4.156000000000001,3.98,2.576,4.647,7.053,7.308,7.393,7.891
2017.01.06,1,111.131,4.63,9.769,0.9309999999999999,9.769,0.9309999999999999,7.682,7.372000000000001,9.769,8.897,9.202,8.597999999999999,7.435,6.8020000000000005,6.385,6.091,5.051,4.627,4.221,3.861,3.912,3.908,3.162,2.199,2.0909999999999997,1.385,1.389,1.252,1.2670000000000001,1.324
2017.01.07,1,35.283,1.47,2.995,0.535,2.995,0.535,0.9309999999999999,0.649,0.8859999999999999,1.1440000000000001,0.9440000000000001,1.0070000000000001,0.8540000000000001,1.4869999999999999,1.1909999999999998,0.986,1.29,1.335,1.579,2.356,2.995,2.199,1.314,2.67,2.755,2.247,1.8030000000000002,0.977,0.535,0.5820000000000001
2017.01.08,1,93.71,3.905,10.627,0.992,10.627,0.992,1.4980000000000002,2.5780000000000003,3.03,6.417000000000001,7.914,7.307,5.472,4.516,2.975,2.802,2.327,2.081,1.756,1.581,1.751,0.992,2.126,2.076,1.014,1.012,4.4719999999999995,6.162000000000001,8.684,4.038
2017.01.09,1,182.56799999999998,7.607,11.927,1.776,11.927,1.776,10.627,11.927,5.7170000000000005,1.776,2.83,6.1129999999999995,9.1,9.196,8.238,8.06,9.198,8.767999999999999,8.718,9.571,8.604,8.511000000000001,9.32,6.83,6.546,5.59,11.474,9.788,6.195,4.849
2017.01.10,1,222.715,9.28,11.972999999999999,3.614,11.972999999999999,3.614,5.649,3.614,8.663,11.397,10.932,11.208,11.879000000000001,11.972999999999999,11.965,9.173,8.88,7.775,9.573,10.777999999999999,11.078,11.77,11.632,11.265,10.113999999999999,8.019,7.462000000000001,4.754,6.111000000000001,6.685
2017.01.11,1,130.92,5.455,9.415,0.198,9.415,0.198,6.015,6.397,6.775,8.318,9.415,7.386,8.763,8.261000000000001,6.349,7.519,4.748,4.0,5.805,7.769,7.059,3.72,0.198,0.802,6.156000000000001,6.152,3.6630000000000003,3.267,2.966,3.054
2017.01.12,1,62.608000000000004,2.609,6.354,0.19699999999999998,6.354,0.19699999999999998,2.378,1.46,0.6859999999999999,0.35200000000000004,0.19699999999999998,0.595,0.302,0.27399999999999997,0.374,0.37200000000000005,0.457,1.297,2.45,2.793,3.995,4.3660000000000005,3.7889999999999997,3.011,5.111000000000001,4.827,2.483,5.479,5.915,6.354
2017.01.13,1,136.675,5.695,10.589,0.0,10.589,0.018000000000000002,5.669,4.893,4.033,3.7960000000000003,4.622,5.737,3.58,2.5660000000000003,0.904,0.018000000000000002,0.0,0.909,3.428,5.166,6.106,5.7170000000000005,8.27,9.177999999999999,8.892999999999999,9.852,10.589,10.520999999999999,9.762,9.921
2017.01.14,1,247.24599999999998,10.302,11.901,8.118,11.901,8.118,8.214,9.728,9.821,9.238999999999999,10.105,9.83,9.849,8.846,8.118,8.83,9.782,10.363,10.751,10.238999999999999,11.335999999999999,11.712,11.773,11.819,11.745,11.901,11.328,11.574000000000002,10.273,8.793
2017.01.15,1,163.305,6.803999999999999,9.238,2.245,9.238,2.245,9.491,8.577,8.424,9.036,9.238,8.837,7.928999999999999,8.139,7.692,8.318,7.452999999999999,6.765,8.112,8.652999999999999,8.359,8.046,6.5920000000000005,5.705,3.677,3.928,2.245,2.975,4.556,5.242000000000001
2017.01.16,1,101.941,4.248,7.651,1.755,7.651,1.755,4.8069999999999995,3.5069999999999997,4.486000000000001,3.1510000000000002,2.827,3.2560000000000002,2.906,3.685,4.078,7.402,4.978,7.132999999999999,7.651,6.316,7.239,6.801,5.143,3.9560000000000004,3.8160000000000003,1.755,2.2769999999999997,2.423,2.366,2.35
2017.01.17,1,26.379,1.099,3.2560000000000002,0.0,3.2560000000000002,0.067,2.439,1.0290000000000001,0.36700000000000005,0.4,0.494,0.6990000000000001,1.016,1.062,0.47600000000000003,0.0,0.0,0.0,0.067,1.577,2.165,0.7809999999999999,0.33899999999999997,0.342,0.76,1.653,1.5390000000000001,2.532,3.2560000000000002,2.9339999999999997
2017.01.18,1,124.791,5.2,10.625,2.573,10.625,2.573,2.891,3.1710000000000003,3.272,4.024,5.04,7.1979999999999995,9.859,10.593,10.625,8.767999999999999,7.655,6.468,5.146,5.0969999999999995,4.143,2.688,4.238,4.363,2.767,4.168,3.748,2.605,3.319,2.573
2017.01.19,1,94.169,3.924,10.714,0.375,10.714,0.375,3.263,2.661,1.9080000000000001,1.7919999999999998,2.017,2.386,2.548,2.2680000000000002,1.994,1.0490000000000002,1.1,1.103,0.375,0.426,1.834,7.626,8.552999999999999,5.647,3.057,5.805,8.391,9.98,10.714,5.686
2017.01.20,1,191.06400000000002,7.961,10.614,3.303,10.614,3.303,5.249,7.996,3.6860000000000004,3.303,6.765,5.172999999999999,4.828,4.462,7.3839999999999995,10.614,10.103,10.26,9.674,9.716000000000001,9.431000000000001,7.91,7.9110000000000005,8.311,9.847000000000001,9.576,9.187000000000001,9.201,9.547,8.293
2017.01.21,1,87.04299999999999,3.627,7.906000000000001,1.2570000000000001,7.906000000000001,1.2570000000000001,7.886,7.906000000000001,6.426,4.856,4.8580000000000005,3.1060000000000003,2.634,3.5580000000000003,2.69,3.3110000000000004,3.6010000000000004,4.122,4.1739999999999995,4.09,2.129,3.4360000000000004,4.6819999999999995,4.41,2.8160000000000003,3.135,1.9909999999999999,3.761,1.2570000000000001,2.016
2017.01.22,1,182.229,7.593,10.215,1.4369999999999998,10.215,1.4369999999999998,2.0780000000000003,1.4369999999999998,2.833,2.053,4.738,5.4110000000000005,8.37,9.92,8.597000000000001,8.447000000000001,8.582,10.087,10.215,8.941,8.218,6.676,9.093,9.386000000000001,8.879,8.486,8.316,8.704,8.638,8.541
2017.01.23,1,191.415,7.976,10.725999999999999,3.694,10.725999999999999,3.694,7.6610000000000005,7.159,6.9910000000000005,8.097000000000001,7.999,9.16,9.282,10.307,10.725999999999999,8.919,7.25,7.351,7.9110000000000005,7.872999999999999,10.107999999999999,8.812999999999999,9.802999999999999,10.152999999999999,10.068999999999999,8.532,7.439,5.169,3.694,4.238
2017.01.24,1,154.922,6.455,9.404,4.927,9.404,4.927,4.372,4.927,5.278,5.795,6.172000000000001,6.108,6.0329999999999995,7.172000000000001,6.591,5.55,5.615,6.209,6.722,6.12,5.07,5.146,6.292000000000001,6.443,6.917999999999999,7.811,6.341,9.02,9.404,9.026
2017.01.25,1,114.682,4.7780000000000005,9.1,1.099,9.1,1.099,5.159,6.79,4.668,2.298,2.951,2.106,1.666,1.099,3.24,5.465,5.044,3.9939999999999998,5.018,5.6129999999999995,5.617999999999999,6.206,4.303999999999999,5.362,4.925,4.5089999999999995,5.401,5.54,4.867,8.898
2017.01.26,1,68.815,2.867,9.077,0.031,9.077,0.031,9.1,8.943,7.037999999999999,7.013,9.077,4.8580000000000005,4.765,4.95,4.507,4.944,1.4369999999999998,2.659,0.961,0.305,0.128,0.031,0.7090000000000001,1.075,0.501,0.775,0.33299999999999996,0.10400000000000001,0.919,0.6759999999999999
2017.01.27,1,170.347,7.098,11.581,1.264,11.581,1.264,2.1069999999999998,6.638999999999999,7.0729999999999995,9.474,8.565,5.822,4.391,2.6260000000000003,1.264,2.3,2.97,2.523,6.7860000000000005,7.351,8.571,8.336,8.305,8.241,9.561,11.581,9.979,10.667,9.927999999999999,8.248
2017.01.28,1,53.443999999999996,2.227,10.489,0.0,10.489,0.078,9.146,10.489,8.481,7.683,5.968,3.549,5.952000000000001,4.295,2.316,1.133,0.11699999999999999,0.0,0.0,0.0,0.0,0.078,0.39299999999999996,0.565,0.08199999999999999,0.107,0.218,0.289,0.327,0.45799999999999996
2017.01.29,1,25.754,1.073,7.035,0.006999999999999999,7.035,0.006999999999999999,0.9440000000000001,1.4169999999999998,1.171,2.003,1.8769999999999998,1.239,1.62,0.469,0.040999999999999995,0.21899999999999997,0.33299999999999996,1.317,1.084,0.166,0.152,1.219,0.38799999999999996,0.006999999999999999,0.026000000000000002,0.105,0.546,1.092,0.044000000000000004,2.184
2017.01.30,1,244.104,10.171,11.912,7.3020000000000005,11.912,7.3020000000000005,7.035,10.742,11.172,10.341,11.912,11.609000000000002,11.543,11.607000000000001,10.724,10.775,11.448,10.209,9.877,9.879,9.901,9.932,9.874,9.9,9.851,9.772,9.558,8.956,8.767999999999999,8.452
2017.01.31,1,150.55100000000002,6.273,9.365,2.319,9.365,2.319,7.3020000000000005,6.212999999999999,5.432,4.646,7.638999999999999,8.287,7.097,9.365,2.319,3.695,6.977,8.318,8.367,8.577,6.751,3.15,3.016,4.588,6.517,6.644,5.025,6.077000000000001,5.425,7.468999999999999
2017.02.01,1,242.24099999999999,10.093,11.96,3.492,11.96,3.492,8.957,8.543,6.332000000000001,3.492,6.2860000000000005,7.061,10.122,11.275,11.787,9.482000000000001,9.294,9.613999999999999,10.508,10.208,10.972999999999999,11.514000000000001,11.793,11.755,11.575999999999999,11.407,11.96,11.954,11.777999999999999,11.841
