date,price
2016.09.19,43
2016.09.20,44
2016.09.21,45
2016.09.22,46
2016.09.23,44
2016.09.26,46
2016.09.27,45
2016.09.28,47
2016.09.29,48
2016.09.30,48
2016.10.03,49
2016.10.04,49
2016.10.05,50
2016.10.06,50
2016.10.07,50
2016.10.10,51
2016.10.11,51
2016.10.12,50
2016.10.13,50
2016.10.14,50
2016.10.17,50
2016.10.18,50
2016.10.19,52
2016.10.20,50
2016.10.21,51
2016.10.24,51
2016.10.25,50
2016.10.26,49
2016.10.27,50
2016.10.28,49
2016.10.31,47
2016.11.01,47
2016.11.02,45
2016.11.03,45
2016.11.04,44
2016.11.07,45
2016.11.08,45
2016.11.09,45
2016.11.10,45
2016.11.11,43
2016.11.14,43
2016.11.15,46
2016.11.16,46
2016.11.17,45
2016.11.18,46
2016.11.21,47
2016.11.22,48
2016.11.23,48
2016.11.25,46
2016.11.28,47
2016.11.29,45
2016.11.30,49
2016.12.01,51
2016.12.02,52
2016.12.05,52
2016.12.06,51
2016.12.07,50
2016.12.08,51
2016.12.09,52
2016.12.12,53
2016.12.13,53
2016.12.14,51
2016.12.15,51
2016.12.16,52
2016.12.19,52
2016.12.20,52
2016.12.21,52
2016.12.22,53
2016.12.23,53
2016.12.27,54
2016.12.28,54
2016.12.29,54
2016.12.30,54
2017.01.03,52
2017.01.04,53
2017.01.05,54
2017.01.06,54
2017.01.09,52
2017.01.10,51
2017.01.11,52
2017.01.12,53
2017.01.13,52
2017.01.17,52
2017.01.18,51
2017.01.19,51
2017.01.20,52
2017.01.23,53
2017.01.24,53
2017.01.25,53
2017.01.26,54
2017.01.27,53
2017.01.30,53
2017.01.31,53
2017.02.01,54
2017.02.02,54
2017.02.03,54
2017.02.06,53
2017.02.07,52
2017.02.08,52
2017.02.09,53
2017.02.10,54
2017.02.13,53
2017.02.14,53
2017.02.15,53
2017.02.16,53
2017.02.17,53
2017.02.21,54
2017.02.22,54
2017.02.23,54
2017.02.24,54
2017.02.27,54
2017.02.28,54
2017.03.01,54
2017.03.02,53
2017.03.03,53
2017.03.06,53
2017.03.07,53
2017.03.08,50
2017.03.09,49
2017.03.10,48
2017.03.13,48
2017.03.14,48
2017.03.15,49
2017.03.16,49
2017.03.17,49
2017.03.20,48
2017.03.21,47
2017.03.22,48
2017.03.23,48
2017.03.24,48
2017.03.27,48
2017.03.28,48
2017.03.29,50
2017.03.30,50
2017.03.31,51
2017.04.03,50
2017.04.04,51
2017.04.05,51
2017.04.06,52
2017.04.07,52
2017.04.10,53
2017.04.11,53
2017.04.12,53
2017.04.13,53
2017.04.17,53
2017.04.18,52
2017.04.19,50
2017.04.20,50
2017.04.21,50
2017.04.24,49
2017.04.25,50
2017.04.26,50
2017.04.27,49
2017.04.28,49
2017.05.01,49
2017.05.02,48
2017.05.03,48
2017.05.04,46
2017.05.05,46
2017.05.08,46
2017.05.09,46
2017.05.10,47
2017.05.11,48
2017.05.12,48
2017.05.15,49
2017.05.16,49
2017.05.17,49
2017.05.18,49
2017.05.19,50
2017.05.22,51
2017.05.23,51
2017.05.24,51
2017.05.25,49
2017.05.26,50
2017.05.30,50
2017.05.31,48
2017.06.01,48
2017.06.02,48
2017.06.05,47
2017.06.06,48
2017.06.07,46
2017.06.08,46
2017.06.09,46
2017.06.12,46
2017.06.13,46
2017.06.14,45
2017.06.15,44
2017.06.16,45
2017.06.19,44
2017.06.20,43
2017.06.21,43
2017.06.22,43
2017.06.23,43
2017.06.26,43
2017.06.27,44
2017.06.28,45
2017.06.29,45
2017.06.30,46
2017.07.03,47
2017.07.05,45
2017.07.06,46
2017.07.07,44
2017.07.10,44
2017.07.11,45
2017.07.12,45
2017.07.13,46
2017.07.14,47
2017.07.17,46
2017.07.18,46
2017.07.19,47
2017.07.20,47
2017.07.21,46
2017.07.24,46
2017.07.25,48
2017.07.26,49
2017.07.27,49
2017.07.28,50
2017.07.31,50
2017.08.01,49
2017.08.02,50
2017.08.03,49
2017.08.04,50
2017.08.07,49
2017.08.08,49
2017.08.09,50
2017.08.10,49
2017.08.11,49
2017.08.14,48
2017.08.15,48
2017.08.16,47
2017.08.17,47
2017.08.18,49
2017.08.21,47
2017.08.22,48
2017.08.23,48
2017.08.24,47
2017.08.25,48
2017.08.28,47
2017.08.29,46
2017.08.30,46
2017.08.31,47
2017.09.01,47
2017.09.05,49
2017.09.06,49
2017.09.07,49
2017.09.08,47
2017.09.11,48
2017.09.12,48
2017.09.13,49
2017.09.14,50
2017.09.15,50
2017.09.18,50
2017.09.19,49
2017.09.20,50
2017.09.21,51
2017.09.22,51
2017.09.25,52
2017.09.26,52
2017.09.27,52
2017.09.28,52
2017.09.29,52
2017.10.02,51
2017.10.03,50
2017.10.04,50
2017.10.05,51
2017.10.06,49
2017.10.09,50
2017.10.10,51
2017.10.11,51
2017.10.12,51
2017.10.13,51
2017.10.16,52
2017.10.17,52
2017.10.18,52
2017.10.19,52
2017.10.20,52
2017.10.23,52
2017.10.24,52
2017.10.25,52
2017.10.26,53
2017.10.27,54
2017.10.30,54
2017.10.31,54
2017.11.01,54
2017.11.02,55
2017.11.03,56
2017.11.06,57
2017.11.07,57
2017.11.08,57
2017.11.09,57
2017.11.10,57
2017.11.13,57
2017.11.14,56
2017.11.15,55
2017.11.16,55
2017.11.17,57
2017.11.20,56
2017.11.21,57
2017.11.22,58
2017.11.24,59
2017.11.27,58
2017.11.28,58
2017.11.29,57
2017.11.30,57
2017.12.01,58
2017.12.04,57
2017.12.05,58
2017.12.06,56
2017.12.07,57
2017.12.08,57
2017.12.11,58
2017.12.12,57
2017.12.13,57
2017.12.14,57
2017.12.15,57
2017.12.18,57
2017.12.19,57
2017.12.20,58
2017.12.21,58
2017.12.22,58
2017.12.26,60
2017.12.27,60
2017.12.28,60
2017.12.29,60
2018.01.02,60
2018.01.03,62
2018.01.04,62
2018.01.05,61
2018.01.08,62
2018.01.09,63
2018.01.10,64
2018.01.11,64
2018.01.12,64
2018.01.16,64
2018.01.17,64
2018.01.18,64
2018.01.19,63
2018.01.22,63
2018.01.23,64
2018.01.24,66
2018.01.25,66
2018.01.26,66
2018.01.29,66
2018.01.30,65
2018.01.31,65
2018.02.01,66
2018.02.02,65
2018.02.05,64
2018.02.06,63
2018.02.07,62
2018.02.08,61
2018.02.09,59
2018.02.12,59
2018.02.13,59
2018.02.14,61
2018.02.15,61
2018.02.16,62
2018.02.20,62
2018.02.21,62
2018.02.22,63
2018.02.23,64
2018.02.26,64
2018.02.27,63
2018.02.28,62
2018.03.01,61
2018.03.02,61
2018.03.05,63
2018.03.06,63
2018.03.07,61
2018.03.08,60
2018.03.09,62
2018.03.12,61
2018.03.13,61
2018.03.14,61
2018.03.15,61
2018.03.16,62
2018.03.19,62
2018.03.20,64
2018.03.21,65
2018.03.22,64
2018.03.23,66
2018.03.26,66
2018.03.27,65
2018.03.28,64
2018.03.29,65
2018.04.02,63
2018.04.03,64
2018.04.04,63
2018.04.05,64
2018.04.06,62
2018.04.09,63
2018.04.10,66
2018.04.11,67
2018.04.12,67
2018.04.13,67
2018.04.16,66
2018.04.17,67
2018.04.18,68
2018.04.19,68
2018.04.20,68
2018.04.23,69
2018.04.24,68
2018.04.25,68
2018.04.26,68
2018.04.27,68
2018.04.30,69
2018.05.01,67
2018.05.02,68
2018.05.03,68
2018.05.04,70
2018.05.07,71
2018.05.08,69
2018.05.09,71
2018.05.10,71
2018.05.11,71
2018.05.14,71
2018.05.15,71
2018.05.16,71
2018.05.17,71
2018.05.18,71
2018.05.21,72
2018.05.22,72
2018.05.23,72
2018.05.24,71
2018.05.25,68
2018.05.29,67
2018.05.30,68
2018.05.31,67
2018.06.01,66
2018.06.04,65
2018.06.05,66
2018.06.06,65
2018.06.07,66
2018.06.08,66
2018.06.11,66
2018.06.12,66
2018.06.13,67
2018.06.14,67
2018.06.15,65
2018.06.18,66
2018.06.19,65
2018.06.20,66
2018.06.21,66
2018.06.22,69
2018.06.25,68
2018.06.26,71
2018.06.27,73
2018.06.28,73
2018.06.29,74
2018.07.02,74
2018.07.03,74
2018.07.05,73
2018.07.06,74
2018.07.09,74
2018.07.10,74
2018.07.11,70
2018.07.12,70
2018.07.13,71
2018.07.16,68
2018.07.17,68
2018.07.18,69
2018.07.19,69
2018.07.20,70
2018.07.23,68
2018.07.24,69
2018.07.25,69
2018.07.26,70
2018.07.27,69
2018.07.30,70
2018.07.31,69
2018.08.01,68
2018.08.02,69
2018.08.03,68
2018.08.06,69
2018.08.07,69
2018.08.08,67
2018.08.09,67
2018.08.10,68
2018.08.13,67
2018.08.14,67
2018.08.15,65
2018.08.16,65
2018.08.17,66
2018.08.20,66
2018.08.21,66
2018.08.22,68
2018.08.23,68
2018.08.24,69
2018.08.27,69
2018.08.28,69
2018.08.29,70
2018.08.30,70
2018.08.31,70
2018.09.04,70
2018.09.05,69
2018.09.06,68
2018.09.07,68
2018.09.10,68
2018.09.11,69
